(-43.046295, -22.33911)
(-43.046333, -22.339108)
(-43.04638, -22.339108)
(-43.046432, -22.339111)
(-43.046455, -22.339102)
(-43.04651, -22.339077)
(-43.04657, -22.339046)
(-43.04658, -22.33904)
(-43.046623, -22.339064)
(-43.046635, -22.339027)
(-43.046665, -22.33902)
(-43.046707, -22.33901)
(-43.04675, -22.338999)
(-43.046795, -22.338993)
(-43.046856, -22.338964)
(-43.04688, -22.338955)
(-43.04692, -22.338947)
(-43.046967, -22.338932)
(-43.047012, -22.3389)
(-43.047054, -22.338865)
(-43.047077, -22.338858)
(-43.0471, -22.33885)
(-43.047142, -22.338842)
(-43.047173, -22.338839)
(-43.04724, -22.338852)
(-43.047256, -22.33886)
(-43.0473, -22.338852)
(-43.047337, -22.338858)
(-43.04737, -22.338863)
(-43.047405, -22.338852)
(-43.04745, -22.338829)
(-43.0475, -22.338823)
(-43.047535, -22.338812)
(-43.047577, -22.338802)
(-43.047646, -22.338797)
(-43.04769, -22.338781)
(-43.04771, -22.338762)
(-43.04774, -22.33874)
(-43.047768, -22.3387)
(-43.04781, -22.338654)
(-43.04783, -22.338634)
(-43.047844, -22.338615)
(-43.047882, -22.338596)
(-43.047913, -22.338573)
(-43.047924, -22.338545)
(-43.047966, -22.3385)
(-43.048016, -22.338459)
(-43.04805, -22.338423)
(-43.048073, -22.338396)
(-43.048088, -22.338367)
(-43.048107, -22.338348)
(-43.048138, -22.3383)
(-43.048145, -22.338287)
(-43.048164, -22.338243)
(-43.04818, -22.338215)
(-43.048214, -22.33816)
(-43.048256, -22.338116)
(-43.048275, -22.338072)
(-43.0483, -22.338015)
(-43.04832, -22.33797)
(-43.048344, -22.33792)
(-43.04835, -22.337906)
(-43.048374, -22.33783)
(-43.048405, -22.337757)
(-43.048428, -22.337694)
(-43.04844, -22.337666)
(-43.04845, -22.337637)
(-43.04847, -22.337587)
(-43.04848, -22.33756)
(-43.048492, -22.337532)
(-43.048515, -22.337477)
(-43.048523, -22.337439)
(-43.048542, -22.337397)
(-43.048565, -22.337341)
(-43.04858, -22.337307)
(-43.0486, -22.337267)
(-43.048622, -22.337217)
(-43.048653, -22.337189)
(-43.04868, -22.337133)
(-43.0487, -22.337109)
(-43.04873, -22.33707)
(-43.04874, -22.337038)
(-43.04876, -22.336996)
(-43.048775, -22.336964)
(-43.048794, -22.336939)
(-43.04881, -22.336905)
(-43.048832, -22.336874)
(-43.04885, -22.336834)
(-43.048862, -22.336807)
(-43.048874, -22.33678)
(-43.048897, -22.336756)
(-43.0489, -22.336699)
(-43.048904, -22.33669)
(-43.0489, -22.336653)
(-43.048916, -22.336626)
(-43.048927, -22.336565)
(-43.048935, -22.336512)
(-43.048954, -22.336397)
(-43.048965, -22.336378)
(-43.04898, -22.336315)
(-43.049004, -22.336267)
(-43.049015, -22.33623)
(-43.049026, -22.336184)
(-43.049026, -22.336166)
(-43.049023, -22.336103)
(-43.04902, -22.336067)
(-43.049015, -22.335995)
(-43.049007, -22.335983)
